title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
Dungeon Reset,Reading,,,2025-35-12,"Dungeon Rese,Abyss Reset,던전 리셋,بازنشانی دانجن,重启地下城,ダンジョンリセット,Перезапуск подземелья,副本重置,Reajuste de la mazmorra",https://myanimelist.net/manga/147438,https://anilist.co/manga/116506,https://www.mangaupdates.com/series/163555
Tonari no Seki no Yatsu ga Souiu Me de Mitekuru,Reading,,41,2025-35-10,"Однокласниця що сидить біля мене, дивиться на мене хтивими очима,となりの席のヤツがそういう目で見てくる,La persona sentada a mi lado me mira de esa manera,La persona de al lado me mira con esos ojos,Sath ki kursi par beithne wali mujhe ""Un Ankhoñ"" se deikhti he,The weirdo one desk over keeps giving me THAT kind of look,La persona de al lado me mira con ojos pervertidos,Người bàn bên thường nhìn tôi bằng ánh mắt biến thái,The Person Sitting Next to Me Looking at Me With Perverted Eyes,TonaEro,Tonari no Seki no Yatsu ga Souiu me de Mitekuru,Людина, що сидить біля мене, дивиться на мене хтивими очима,Одноклассница, сидящая за соседней партой, смотрит на меня развратным взглядом,となエロ,隣の席の奴がエロい目で見てくる話,Tonari no Seki no Yatsu ga Eroi me de Mitekuru Hanashi",https://myanimelist.net/manga/171055,https://anilist.co/manga/177096,https://www.mangaupdates.com/series/95t1htc
Revelation of Youth,Reading,,,2024-47-08,"청춘계시록,Cheongchungyesilog,Cheongchun Gyesirok,Apocalypse of Youth,Апокаліпсис юності,เป็นวัยรุ่นมันเหนื่อย,青春启示录,青春啟示錄,Youth of Revelation",https://myanimelist.net/manga/153650,https://anilist.co/manga/159636,https://www.mangaupdates.com/series/dvegsy2
"Lofty Flower, Fall for Me!!",Reading,,,2024-46-08,"Takane no Hana nara Ochitekoi!!,就算是高岭之花也要攻略！,高嶺の花なら落ちてこい!!,절벽의 꽃이라면 떨어져라!!",https://myanimelist.net/manga/92842,https://anilist.co/manga/86714,https://www.mangaupdates.com/series/125773
Magical Girl Site,Reading,,,2024-47-08,"Czarodziejki.net,Сайт волшебных девушек,ฝ่านรกไซต์มรณะ,魔法少女サイト,마법 소녀 사이트,Mahou Shoujo Site,Czarodziejki.Net (Polish),Maho Shojo Site,Сайт волшебниц,ฝ่านรกไซต์มรณะ (Thai),마법소녀 사이트",https://myanimelist.net/manga/57295,https://anilist.co/manga/85666,https://www.mangaupdates.com/series/101020
Kimi wa Yakamashi Tojite yo Kuchi o!,Reading,,,2024-12-09,"Ang Ingay Mo Kaya Manahimik Ka Na Lang!,君は喧し閉じてよ口を！,You Talk Too Much, So Just Shut It Already!,吵闹的你不肯住口,Cậu Ồn Ào Quá, Im lặng Giùm Tớ Đi!,Закрой свой рот!,Ты слишком много говоришь, так что заткнись уже!,Kimi ha Yakamashi Tojite yo Kuchi wo!,You're Too Noisy, So Just Shut It Already!,Kimi wa Yakamashi Tojite yo Kuchi wo!",https://myanimelist.net/manga/147483,https://anilist.co/manga/149337,https://www.mangaupdates.com/series/48nzjla
Oni Ure Idol ga Kyou mo Watashi wo Oshitekuru (Pre-Serialization),Reading,,3,2024-11-09,"鬼売れアイドルが今日も私を推してくる,The Superstar Idol Crushes on Me Today Too",,,
Cooking Sorcerer,Reading,,,2024-12-09,"요리하는 마법사,The Cooking Wizard,Cooking Sorcerer,料理する魔法使い,舌尖上的魔法师,Cooking Wizard,La maga de la Cocina",https://myanimelist.net/manga/154861,https://anilist.co/manga/155958,https://www.mangaupdates.com/series/d3vapk7
The Beginning After the End,Reading,,179,2025-06-20,"O começo após o final,O começo depois do fim,TBATE,三岁开始做王者,最強の王様、二度目の人生は何をする？,끝이 아닌 시작,Начало после конца,El comienzo después del fin,آغاز پس از پایان,La Vida Después de la Muerte,Oxiridan Keyingi Boshlanish",,,https://www.mangaupdates.com/series/rwg23en
Itsuki-kun wa Tadasaretai,Reading,,1,2024-25-11,"Itsuki-kun Wants to Be Corrected,Іцукі хоче виправлення,伊月くんは正されたい,Itsuki-kun Quer ser Corrigido,Itsuki-kun Muốn Được Chỉnh Đốn,Itsuki-kun wa Tadasa retai.",https://myanimelist.net/manga/172939,https://anilist.co/manga/180123,https://www.mangaupdates.com/series/hl0tf09
